example_id                                                    | status | run_time              |
./spec/models/asset_spec.rb[1:9]                              | passed | 0.00623 seconds       |
./spec/models/asset_spec.rb[1:10:1]                           | passed | 0.00995 seconds       |
./spec/models/asset_spec.rb[1:10:2]                           | passed | 0.00914 seconds       |
./spec/models/asset_spec.rb[1:10:3]                           | passed | 0.00574 seconds       |
./spec/models/asset_spec.rb[1:10:4]                           | passed | 0.02085 seconds       |
./spec/models/chat/message_spec.rb[1:1]                       | passed | 0.00804 seconds       |
./spec/models/chat/message_spec.rb[1:2]                       | passed | 0.00374 seconds       |
./spec/models/chat/message_spec.rb[1:3]                       | passed | 0.00745 seconds       |
./spec/models/chat/message_spec.rb[1:4]                       | passed | 0.01776 seconds       |
./spec/models/chat/message_spec.rb[1:5]                       | passed | 0.00223 seconds       |
./spec/models/chat/message_spec.rb[1:6]                       | passed | 0.00255 seconds       |
./spec/models/chat/message_spec.rb[1:7]                       | passed | 0.01426 seconds       |
./spec/models/chat/room_spec.rb[1:1]                          | passed | 0.00521 seconds       |
./spec/models/chat/room_spec.rb[1:2]                          | passed | 0.01346 seconds       |
./spec/models/chat/room_spec.rb[1:3]                          | passed | 0.01027 seconds       |
./spec/models/chat/room_spec.rb[1:4]                          | passed | 0.00917 seconds       |
./spec/models/chat/room_spec.rb[1:5]                          | passed | 0.01073 seconds       |
./spec/models/notification_spec.rb[1:1:1]                     | passed | 0.00243 seconds       |
./spec/models/notification_spec.rb[1:1:2]                     | passed | 0.00349 seconds       |
./spec/models/notification_spec.rb[1:1:3]                     | passed | 0.00299 seconds       |
./spec/models/notification_spec.rb[1:1:4]                     | passed | 0.00353 seconds       |
./spec/models/notification_spec.rb[1:2:1]                     | passed | 0.0033 seconds        |
./spec/models/notification_spec.rb[1:2:2]                     | passed | 0.00386 seconds       |
./spec/models/notification_spec.rb[1:2:3]                     | passed | 0.0052 seconds        |
./spec/models/payment/product_spec.rb[1:1]                    | passed | 0.00496 seconds       |
./spec/models/payment/product_spec.rb[1:2]                    | passed | 0.00842 seconds       |
./spec/models/payment/product_spec.rb[1:3]                    | passed | 0.00314 seconds       |
./spec/models/payment/product_spec.rb[1:4]                    | passed | 0.00582 seconds       |
./spec/models/payment/product_spec.rb[1:5]                    | passed | 0.00288 seconds       |
./spec/models/payment/product_spec.rb[1:6]                    | passed | 0.00689 seconds       |
./spec/models/payment/product_spec.rb[1:7]                    | passed | 0.01079 seconds       |
./spec/models/payment/product_spec.rb[1:8]                    | passed | 0.05733 seconds       |
./spec/models/payment/product_spec.rb[1:9:1]                  | passed | 0.00447 seconds       |
./spec/models/payment/product_spec.rb[1:9:2]                  | passed | 0.00521 seconds       |
./spec/models/payment/product_spec.rb[1:9:3]                  | passed | 0.00402 seconds       |
./spec/models/payment/product_spec.rb[1:9:4]                  | passed | 0.00553 seconds       |
./spec/models/payment/product_spec.rb[1:9:5]                  | passed | 0.00387 seconds       |
./spec/models/payment/subscription_spec.rb[1:1]               | passed | 0.00958 seconds       |
./spec/models/payment/subscription_spec.rb[1:2]               | passed | 0.00253 seconds       |
./spec/models/payment/subscription_spec.rb[1:3]               | passed | 0.00246 seconds       |
./spec/models/payment/subscription_spec.rb[1:4]               | passed | 0.00427 seconds       |
./spec/models/payment/transaction_spec.rb[1:1]                | passed | 0.00644 seconds       |
./spec/models/payment/transaction_spec.rb[1:2]                | passed | 0.00247 seconds       |
